,scores,variables,accuracy,recall,precision,f1
rp,34.532743997727536,"[['X41', 'X0', 'X4'], ['X37', 'X0', 'X47', 'X34', 'X38'], ['X0', 'X1', 'X31', 'X19'], ['X0', 'X29'], ['X20', 'X46', 'X24'], ['X5', 'X49', 'X32'], ['X42', 'X41'], ['X33', 'X38', 'X32', 'X11', 'X47'], ['X0', 'X37', 'X26'], ['X0', 'X1', 'X16'], ['X16', 'X20'], ['X0', 'X1', 'X17'], ['X8'], ['X1', 'X0', 'X35'], ['X0', 'X1', 'X35']]",0.9373333333333334,0.4666666666666667,0.3022222222222222,0.3634920634920634
kd,34.30728524678954,"[['X0', 'X47', 'X20'], ['X37', 'X28', 'X46'], ['X0', 'X1', 'X40'], ['X0', 'X32', 'X15'], ['X18', 'X40'], ['X5', 'X26', 'X46'], ['X42', 'X46', 'X30'], ['X13', 'X48'], ['X0', 'X39', 'X12'], ['X0', 'X45'], ['X1', 'X0', 'X10', 'X26'], ['X0', 'X29', 'X25'], ['X37', 'X18', 'X1', 'X46'], ['X1', 'X0', 'X10'], ['X0', 'X1', 'X4']]",0.9386666666666668,0.4666666666666667,0.3055555555555555,0.36666666666666664
classification,28.314676302321814,"[['X8', 'X39', 'X16', 'X14', 'X15', 'X28', 'X13'], ['X14', 'X16', 'X27', 'X3'], ['X0', 'X1', 'X11', 'X4'], ['X0', 'X1', 'X47', 'X11', 'X27', 'X14'], ['X41', 'X38', 'X25', 'X47'], ['X5', 'X14', 'X38', 'X27'], ['X47', 'X42', 'X31', 'X36', 'X15', 'X0', 'X49', 'X22'], ['X33', 'X30', 'X44', 'X29', 'X26', 'X46', 'X34'], ['X0', 'X39', 'X12', 'X42', 'X7'], ['X0', 'X45', 'X1', 'X38', 'X46', 'X43'], ['X34', 'X0', 'X29', 'X14', 'X8', 'X43'], ['X0', 'X46', 'X47', 'X35', 'X48'], ['X8', 'X0', 'X36'], ['X0', 'X1', 'X34', 'X46', 'X15', 'X35'], ['X0', 'X1', 'X14', 'X41', 'X11', 'X32', 'X22']]",0.8906666666666667,0.5,0.18738095238095237,0.2688359788359788
honest,24.478966301756632,"[['X38', 'X41', 'X0', 'X19'], ['X12', 'X46'], ['X41', 'X0', 'X15', 'X14'], ['X0'], ['X28', 'X0', 'X36'], ['X16'], ['X49'], ['X20'], ['X0', 'X39', 'X43'], ['X0'], ['X13', 'X26'], ['X0', 'X29'], ['X29'], ['X0', 'X1'], ['X29', 'X9']]",0.9440000000000001,0.3,0.31111111111111106,0.2866666666666667
mi,0.7904415791521543,"[['X15', 'X45', 'X5', 'X14', 'X23', 'X34'], ['X1', 'X40', 'X29', 'X18', 'X5', 'X32', 'X23', 'X8', 'X34'], ['X11', 'X0', 'X41', 'X33'], ['X46', 'X16', 'X5', 'X31', 'X17'], ['X41', 'X15', 'X40', 'X47', 'X49'], ['X41', 'X21', 'X26', 'X16', 'X0', 'X44', 'X10', 'X11', 'X18', 'X38', 'X43', 'X12'], ['X39', 'X1', 'X22', 'X8', 'X46', 'X44', 'X43', 'X31'], ['X19', 'X40', 'X31', 'X11', 'X14', 'X45'], ['X3', 'X0', 'X39', 'X34', 'X5', 'X10', 'X47', 'X20'], ['X8', 'X35', 'X9', 'X14', 'X16', 'X21'], ['X27', 'X37', 'X5', 'X14', 'X28', 'X35', 'X13', 'X7', 'X30', 'X44', 'X22', 'X17'], ['X0', 'X34', 'X31', 'X39', 'X13', 'X2', 'X26', 'X42', 'X46', 'X48', 'X47'], ['X28', 'X10', 'X19', 'X23', 'X16'], ['X0', 'X29', 'X46', 'X45', 'X10', 'X17'], ['X0', 'X14', 'X24', 'X41', 'X22', 'X11']]",0.8360000000000001,0.26666666666666666,0.07457912457912458,0.11412365412365413
linear,80.37540371886162,"[['X0', 'X1', 'X10', 'X12', 'X13', 'X15', 'X20', 'X30', 'X33', 'X39', 'X43', 'X48', 'X7', 'X8'], ['X0', 'X1', 'X15', 'X21', 'X23', 'X24', 'X34', 'X35', 'X44'], ['X0', 'X1', 'X10', 'X16', 'X18', 'X24', 'X29', 'X30', 'X32', 'X33', 'X39', 'X40', 'X42', 'X47', 'X49', 'X6', 'X8'], ['X0', 'X1', 'X12', 'X13', 'X14', 'X15', 'X16', 'X2', 'X23', 'X24', 'X27', 'X29', 'X3', 'X30', 'X33', 'X36', 'X4', 'X45', 'X47', 'X48', 'X5'], ['X0', 'X1', 'X18', 'X30', 'X39', 'X45', 'X48'], ['X0', 'X1', 'X11', 'X12', 'X18', 'X21', 'X25', 'X32', 'X4', 'X41', 'X43', 'X48', 'X5', 'X8', 'X9'], ['X0', 'X1', 'X10', 'X11', 'X13', 'X16', 'X21', 'X26', 'X3', 'X31', 'X33', 'X35', 'X36', 'X37', 'X40', 'X41', 'X43', 'X47', 'X49', 'X5', 'X6', 'X9'], ['X0', 'X1', 'X17', 'X18', 'X30', 'X32', 'X35', 'X39', 'X41', 'X8', 'X9'], ['X0', 'X12', 'X13', 'X18', 'X19', 'X26', 'X27', 'X29', 'X3', 'X30', 'X31', 'X32', 'X35', 'X41', 'X43', 'X44', 'X45', 'X5', 'X7', 'X8'], ['X0', 'X1', 'X11', 'X12', 'X17', 'X26', 'X28', 'X33', 'X38', 'X45', 'X5', 'X8'], ['X0', 'X10', 'X18', 'X22', 'X29', 'X39', 'X4', 'X42', 'X45'], ['X0', 'X1', 'X10', 'X14', 'X16', 'X18', 'X2', 'X24', 'X28', 'X29', 'X30', 'X34', 'X38', 'X39', 'X47', 'X9'], ['X0', 'X1', 'X30', 'X33', 'X9'], ['X0', 'X1', 'X13', 'X29', 'X32', 'X35', 'X41', 'X47', 'X48', 'X49'], ['X0', 'X1', 'X10', 'X12', 'X17', 'X2', 'X24', 'X31', 'X37', 'X38', 'X43']]",0.7693333333333333,0.9333333333333333,0.16695569136745605,0.27635275016483796
