,scores,variables,accuracy,recall,precision,f1
rp,111.55511282174696,"[['X0', 'X1', 'X2'], ['X1', 'X0', 'X2'], ['X1', 'X0', 'X2'], ['X0', 'X1', 'X2'], ['X0', 'X1', 'X2'], ['X0', 'X1', 'X2'], ['X0', 'X1'], ['X0', 'X1', 'X2'], ['X1', 'X0', 'X25'], ['X0', 'X1', 'X31'], ['X0', 'X1', 'X2'], ['X1', 'X0', 'X2', 'X34'], ['X1', 'X0', 'X2'], ['X0', 'X1', 'X2'], ['X0', 'X2', 'X1', 'X48']]",0.9908496732026144,0.9333333333333332,0.9222222222222222,0.9231746031746032
kd,111.5832803901855,"[['X0', 'X1'], ['X1', 'X0', 'X10', 'X3'], ['X1', 'X2'], ['X0', 'X1'], ['X0', 'X2', 'X1'], ['X0', 'X2', 'X1', 'X36'], ['X0', 'X1', 'X2'], ['X0', 'X1'], ['X1', 'X0', 'X45'], ['X0', 'X1'], ['X0', 'X1', 'X2'], ['X1', 'X0'], ['X1', 'X0', 'X2', 'X23'], ['X0', 'X1'], ['X0', 'X1']]",0.9803921568627451,0.7777777777777778,0.9111111111111112,0.8234920634920637
classification,102.95983452408733,"[['X0', 'X1', 'X48', 'X41', 'X37', 'X34', 'X36', 'X31', 'X9', 'X13', 'X6', 'X2', 'X8', 'X32'], ['X1', 'X0', 'X20', 'X14', 'X21', 'X10', 'X11', 'X28', 'X43', 'X18', 'X23', 'X45', 'X24', 'X37'], ['X1', 'X0', 'X17', 'X21', 'X2', 'X37', 'X29', 'X7', 'X12', 'X26', 'X23', 'X38', 'X50', 'X13', 'X6', 'X5', 'X4', 'X10'], ['X0', 'X1', 'X46', 'X49', 'X5', 'X22', 'X15', 'X42', 'X33', 'X6', 'X27', 'X28', 'X45'], ['X0', 'X1', 'X36', 'X12', 'X46', 'X6', 'X49', 'X21', 'X47', 'X41', 'X50'], ['X0', 'X2', 'X1', 'X40', 'X5', 'X46', 'X36', 'X39', 'X26', 'X7', 'X42', 'X19', 'X33', 'X38', 'X8'], ['X0', 'X2', 'X19', 'X50', 'X24', 'X46', 'X21', 'X42', 'X41', 'X4', 'X36', 'X23', 'X7', 'X8'], ['X0', 'X1', 'X48', 'X19', 'X35', 'X47', 'X17', 'X41', 'X25', 'X37', 'X4', 'X38', 'X42', 'X11', 'X12'], ['X1', 'X0', 'X18', 'X11', 'X27', 'X41', 'X23', 'X42', 'X17', 'X4', 'X15', 'X37', 'X16', 'X3', 'X45', 'X48', 'X14'], ['X0', 'X1', 'X22', 'X8', 'X29', 'X47', 'X18', 'X9', 'X27', 'X6', 'X5', 'X20', 'X40'], ['X0', 'X1', 'X16', 'X20', 'X23', 'X19', 'X35', 'X40', 'X3', 'X10', 'X48', 'X5', 'X44', 'X11', 'X2', 'X32'], ['X1', 'X0', 'X46', 'X33', 'X45', 'X23', 'X14', 'X39', 'X44', 'X24', 'X3', 'X2', 'X29', 'X31', 'X16', 'X19', 'X32', 'X10', 'X41'], ['X1', 'X0', 'X30', 'X27', 'X32', 'X6', 'X22', 'X47', 'X44', 'X14', 'X26', 'X17', 'X28', 'X13'], ['X0', 'X1', 'X2', 'X38', 'X23', 'X8', 'X21', 'X4', 'X9', 'X49', 'X14', 'X10', 'X39', 'X25', 'X47', 'X28', 'X5'], ['X0', 'X1', 'X41', 'X19', 'X27', 'X22', 'X10', 'X44', 'X15', 'X47', 'X2', 'X31', 'X5', 'X3']]",0.7450980392156861,0.8222222222222223,0.1657443820369517,0.27515103861853085
honest,76.96948840593276,"[['X1', 'X2'], ['X1', 'X0', 'X40'], ['X1', 'X0', 'X40', 'X47'], ['X0', 'X1', 'X4'], ['X0', 'X1', 'X22'], ['X0', 'X1', 'X38', 'X33'], ['X1', 'X2'], ['X0', 'X1', 'X16'], ['X0', 'X1', 'X22', 'X38', 'X6'], ['X1', 'X0', 'X37'], ['X0', 'X2', 'X32'], ['X0', 'X1', 'X13'], ['X2', 'X0', 'X1', 'X11'], ['X0', 'X1', 'X48'], ['X0', 'X1', 'X27']]",0.9594771241830066,0.6888888888888888,0.6766666666666665,0.6733333333333333
mi,0.8155879117736509,"[['X2', 'X0', 'X33', 'X50', 'X43', 'X42', 'X16', 'X40', 'X27', 'X22', 'X13', 'X48', 'X23', 'X29', 'X49', 'X15', 'X36', 'X4', 'X38', 'X19', 'X21', 'X11', 'X46', 'X20', 'X12', 'X14', 'X28', 'X31'], ['X0', 'X2', 'X8', 'X28', 'X36', 'X30', 'X48', 'X19', 'X39', 'X24', 'X12', 'X11', 'X9', 'X32', 'X25', 'X16', 'X50', 'X42', 'X21', 'X5', 'X35', 'X45', 'X3', 'X44', 'X33'], ['X0', 'X1', 'X17', 'X18', 'X21', 'X31', 'X38', 'X48', 'X34', 'X11', 'X45', 'X26', 'X20', 'X27', 'X15', 'X22', 'X47', 'X24', 'X12', 'X40', 'X23', 'X35', 'X19', 'X43', 'X16'], ['X0', 'X2', 'X3', 'X14', 'X29', 'X4', 'X6', 'X19', 'X43', 'X7'], ['X2', 'X1', 'X22', 'X4', 'X27', 'X39', 'X3', 'X12', 'X31', 'X46', 'X11', 'X50', 'X14', 'X10', 'X32', 'X42', 'X21', 'X8'], ['X0', 'X2', 'X3', 'X22', 'X50', 'X5', 'X31', 'X19', 'X13', 'X37', 'X35', 'X15', 'X26', 'X18', 'X44', 'X49', 'X45', 'X12', 'X21', 'X34', 'X39', 'X46', 'X32', 'X28', 'X20', 'X9'], ['X0', 'X2', 'X19', 'X42', 'X8', 'X20', 'X12', 'X35', 'X4', 'X49', 'X47', 'X9', 'X40', 'X39', 'X25', 'X29', 'X27', 'X48', 'X45', 'X22', 'X18', 'X30', 'X31', 'X44', 'X24', 'X17', 'X38', 'X37'], ['X0', 'X2', 'X21', 'X47', 'X39', 'X4', 'X35', 'X24', 'X33', 'X41', 'X15', 'X13', 'X8', 'X40', 'X26', 'X36', 'X6', 'X44', 'X45', 'X25', 'X48', 'X19', 'X11', 'X46', 'X9', 'X30', 'X16', 'X14', 'X18'], ['X0', 'X1', 'X23', 'X11', 'X10', 'X7', 'X34', 'X47', 'X35', 'X27', 'X2', 'X6', 'X29', 'X4', 'X37', 'X45', 'X3', 'X40', 'X50', 'X12', 'X48', 'X16', 'X31', 'X22', 'X33'], ['X1', 'X2', 'X25', 'X48', 'X40', 'X16', 'X12', 'X19', 'X21', 'X31', 'X35', 'X18', 'X5', 'X8', 'X4', 'X50', 'X45', 'X47', 'X34', 'X28', 'X7', 'X24', 'X9', 'X33', 'X11', 'X15'], ['X0', 'X2', 'X21', 'X9', 'X28', 'X42', 'X40', 'X3', 'X46', 'X30', 'X13', 'X18', 'X11', 'X22', 'X34', 'X4', 'X23', 'X17', 'X31', 'X29', 'X37', 'X50', 'X38'], ['X1', 'X2', 'X10', 'X15', 'X44', 'X30', 'X8', 'X14', 'X24', 'X43', 'X50', 'X20', 'X7', 'X36', 'X21', 'X9', 'X23', 'X35', 'X29', 'X37', 'X38', 'X19', 'X22', 'X26', 'X4', 'X48', 'X28', 'X42', 'X25', 'X27'], ['X0', 'X2', 'X19', 'X8', 'X20', 'X28', 'X30', 'X23', 'X49', 'X31', 'X21', 'X36', 'X17', 'X9', 'X46', 'X41', 'X47'], ['X0', 'X1', 'X13', 'X23', 'X42', 'X22', 'X28', 'X40', 'X32', 'X33', 'X11', 'X35', 'X46', 'X6', 'X38', 'X47', 'X41', 'X16', 'X10', 'X49', 'X9', 'X7', 'X43', 'X20', 'X8', 'X3'], ['X0', 'X1', 'X9', 'X27', 'X16', 'X41', 'X48', 'X7', 'X17', 'X13', 'X29', 'X35', 'X46', 'X6', 'X39', 'X40', 'X18', 'X37', 'X42', 'X3', 'X12', 'X23', 'X32', 'X15', 'X24', 'X38']]",0.5490196078431372,0.6888888888888888,0.09212642174208449,0.16053436181912265
linear,1042.1195634374126,"[['X0', 'X1', 'X2', 'X28', 'X35', 'X36', 'X41', 'X46'], ['X0', 'X1', 'X2', 'X20', 'X22', 'X3', 'X31', 'X33', 'X34', 'X47'], ['X0', 'X1', 'X19', 'X2', 'X20', 'X38', 'X4', 'X44', 'X45', 'X5', 'X50'], ['X0', 'X1', 'X18', 'X2', 'X3', 'X47', 'X49', 'X9'], ['X0', 'X1', 'X12', 'X2', 'X21', 'X32', 'X33', 'X47', 'X5'], ['X0', 'X1', 'X10', 'X16', 'X2', 'X20', 'X27', 'X29', 'X3', 'X41', 'X46', 'X48', 'X50', 'X8'], ['X0', 'X1', 'X2', 'X36', 'X38', 'X41', 'X44', 'X50', 'X9'], ['X0', 'X1', 'X12', 'X17', 'X2', 'X23', 'X26', 'X27', 'X33', 'X42', 'X47'], ['X0', 'X1', 'X2', 'X23', 'X32', 'X35', 'X49', 'X5'], ['X0', 'X1', 'X12', 'X18', 'X2', 'X20', 'X22', 'X23', 'X26', 'X29', 'X31', 'X32', 'X37', 'X39', 'X41', 'X47', 'X48', 'X7', 'X8'], ['X0', 'X1', 'X16', 'X19', 'X2', 'X27', 'X30', 'X31', 'X35', 'X39', 'X5'], ['X0', 'X1', 'X15', 'X16', 'X19', 'X2', 'X20', 'X28', 'X31', 'X33', 'X35', 'X41', 'X43', 'X45', 'X9'], ['X0', 'X1', 'X18', 'X2', 'X27', 'X29', 'X3', 'X34', 'X4', 'X49', 'X9'], ['X0', 'X1', 'X14', 'X2', 'X24', 'X39', 'X4', 'X46', 'X5'], ['X0', 'X1', 'X17', 'X19', 'X2', 'X38', 'X47', 'X49']]",0.8483660130718955,1.0,0.29753930280246066,0.45444294267823676
