,scores,variables,accuracy,recall,precision,f1
rp,79.16290195552796,"[['X2', 'X0'], ['X0', 'X1', 'X2', 'X17'], ['X1', 'X2'], ['X0', 'X2'], ['X0', 'X1', 'X38', 'X2'], ['X0', 'X1', 'X2'], ['X0', 'X2'], ['X1', 'X0'], ['X2', 'X1'], ['X0', 'X1', 'X29'], ['X0', 'X1'], ['X2', 'X0', 'X16'], ['X1', 'X0', 'X18'], ['X0', 'X2', 'X1', 'X12'], ['X0', 'X1', 'X37']]",0.9764705882352942,0.7555555555555554,0.8611111111111109,0.7892063492063491
kd,79.09070322636389,"[['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0', 'X49'], ['X0', 'X2'], ['X0', 'X1'], ['X0', 'X2'], ['X1', 'X0', 'X2', 'X42'], ['X1', 'X0'], ['X2', 'X1', 'X0', 'X28'], ['X0', 'X1', 'X2', 'X6'], ['X1', 'X0', 'X40'], ['X2', 'X0', 'X32'], ['X1', 'X0'], ['X0', 'X2', 'X1'], ['X0', 'X1', 'X6']]",0.9764705882352941,0.7555555555555553,0.8611111111111109,0.7892063492063491
classification,71.73061489273306,"[['X1', 'X0', 'X25', 'X43', 'X4', 'X11', 'X35', 'X3', 'X23', 'X31', 'X33', 'X2'], ['X0', 'X1', 'X46', 'X49', 'X45', 'X35', 'X29', 'X30', 'X3', 'X24', 'X40', 'X20', 'X22', 'X47'], ['X1', 'X2', 'X41', 'X27', 'X31', 'X3', 'X19', 'X8', 'X40', 'X42', 'X26', 'X39', 'X24'], ['X0', 'X2', 'X24', 'X9', 'X10', 'X26', 'X49', 'X27', 'X30'], ['X0', 'X1', 'X5', 'X8', 'X27', 'X42', 'X47', 'X2', 'X19', 'X13'], ['X0', 'X1', 'X2', 'X45', 'X25', 'X23', 'X28', 'X44', 'X13', 'X4', 'X20', 'X5'], ['X0', 'X1', 'X4', 'X18', 'X11', 'X6', 'X23', 'X45', 'X34'], ['X1', 'X0', 'X16', 'X34', 'X47', 'X29', 'X31', 'X13', 'X22'], ['X2', 'X0', 'X1', 'X30', 'X33', 'X37', 'X9', 'X23', 'X46'], ['X0', 'X1', 'X2', 'X30', 'X34', 'X37', 'X21', 'X27', 'X13', 'X31', 'X12'], ['X1', 'X0', 'X19', 'X33', 'X9', 'X11', 'X14', 'X3', 'X41', 'X46'], ['X2', 'X1', 'X30', 'X13', 'X33', 'X16', 'X4', 'X50', 'X32', 'X44', 'X7', 'X20'], ['X1', 'X0', 'X36', 'X21', 'X16', 'X3', 'X22', 'X4', 'X8', 'X20'], ['X0', 'X1', 'X15', 'X47', 'X49', 'X45', 'X19', 'X22', 'X10', 'X34'], ['X0', 'X1', 'X22', 'X3', 'X10', 'X17', 'X7', 'X42', 'X9', 'X20', 'X41', 'X32', 'X34', 'X18']]",0.8183006535947714,0.7777777777777775,0.21859695859695863,0.3400294476765065
honest,54.827058078608985,"[['X2', 'X1', 'X17', 'X31'], ['X0', 'X2'], ['X1', 'X0', 'X33', 'X8'], ['X0', 'X1', 'X20'], ['X0', 'X49'], ['X0', 'X18', 'X2', 'X28'], ['X0', 'X1', 'X35'], ['X0', 'X2', 'X8', 'X50'], ['X2', 'X1', 'X30'], ['X2', 'X0', 'X46', 'X3'], ['X1', 'X0', 'X24'], ['X49', 'X1', 'X0', 'X32', 'X45'], ['X1', 'X0'], ['X0', 'X1', 'X16'], ['X1', 'X0', 'X30']]",0.9529411764705883,0.6444444444444444,0.6266666666666666,0.6238095238095238
mi,0.8166855941730435,"[['X1', 'X2', 'X38', 'X37', 'X44', 'X49', 'X41', 'X24', 'X6', 'X50', 'X43', 'X40', 'X32', 'X8', 'X17', 'X36'], ['X2', 'X12', 'X1', 'X14', 'X6', 'X23', 'X17', 'X19', 'X35', 'X36', 'X11', 'X3', 'X24', 'X28', 'X34', 'X22', 'X21', 'X16', 'X25', 'X43', 'X47', 'X37', 'X48', 'X44', 'X29'], ['X23', 'X0', 'X1', 'X40', 'X33', 'X21', 'X9', 'X39', 'X26', 'X6', 'X16', 'X29', 'X37', 'X48', 'X44', 'X42', 'X36', 'X47'], ['X2', 'X0', 'X15', 'X30', 'X9', 'X36', 'X31', 'X42', 'X32', 'X27', 'X21', 'X41', 'X47', 'X8', 'X22', 'X25', 'X12', 'X44'], ['X0', 'X1', 'X27', 'X5', 'X32', 'X35', 'X41', 'X9', 'X37', 'X30', 'X49', 'X15', 'X19', 'X18', 'X38', 'X7', 'X48', 'X34', 'X39'], ['X1', 'X0', 'X25', 'X21', 'X33', 'X37', 'X9', 'X29', 'X12', 'X31', 'X45', 'X26', 'X35', 'X46', 'X49', 'X32', 'X47'], ['X15', 'X49', 'X25', 'X20', 'X1', 'X2', 'X39', 'X24', 'X32', 'X45', 'X28', 'X14', 'X48', 'X27', 'X17', 'X10', 'X22', 'X21', 'X33'], ['X1', 'X0', 'X12', 'X47', 'X31', 'X33', 'X43', 'X42', 'X23', 'X17', 'X26', 'X35', 'X38', 'X8', 'X34', 'X28', 'X20', 'X13', 'X48', 'X6', 'X9', 'X10'], ['X2', 'X0', 'X22', 'X28', 'X45', 'X41', 'X24', 'X21', 'X15', 'X50', 'X46', 'X26', 'X34', 'X49', 'X29', 'X9', 'X44', 'X8', 'X38', 'X20', 'X47', 'X39', 'X16', 'X11', 'X43', 'X31', 'X7', 'X14'], ['X1', 'X2', 'X43', 'X18', 'X3', 'X16', 'X39', 'X11', 'X49', 'X7', 'X17', 'X34', 'X47', 'X10', 'X19', 'X14', 'X25', 'X5', 'X15', 'X41', 'X24'], ['X32', 'X0', 'X13', 'X48', 'X7', 'X28', 'X46', 'X43', 'X29', 'X40', 'X27', 'X6', 'X19', 'X2', 'X35', 'X11', 'X26', 'X5', 'X4'], ['X2', 'X0', 'X9', 'X23', 'X37', 'X42', 'X38', 'X22', 'X36', 'X7', 'X41', 'X6', 'X26', 'X20', 'X44', 'X28', 'X11', 'X29'], ['X2', 'X0', 'X36', 'X20', 'X7', 'X35', 'X25', 'X24', 'X37', 'X23', 'X50', 'X47', 'X43'], ['X0', 'X1', 'X15', 'X43', 'X24', 'X5', 'X26', 'X6', 'X32', 'X4', 'X11', 'X27', 'X50', 'X23', 'X34', 'X13', 'X35', 'X19', 'X37', 'X45', 'X10', 'X25', 'X20'], ['X0', 'X1', 'X45', 'X4', 'X28', 'X24', 'X29', 'X23', 'X37', 'X11', 'X36', 'X19', 'X26', 'X35', 'X21', 'X33', 'X20']]",0.6366013071895423,0.6666666666666665,0.10585302385504297,0.18198744360713803
linear,522.668063714893,"[['X0', 'X1', 'X15', 'X2', 'X3', 'X30', 'X34', 'X35', 'X39', 'X8'], ['X0', 'X1', 'X13', 'X2', 'X21', 'X26', 'X29', 'X33', 'X39', 'X4', 'X41', 'X43', 'X46'], ['X0', 'X1', 'X13', 'X17', 'X2', 'X23', 'X24', 'X25', 'X28', 'X29', 'X35', 'X36', 'X39'], ['X0', 'X1', 'X2', 'X20', 'X25', 'X29', 'X30', 'X32', 'X39', 'X42', 'X46', 'X48', 'X6', 'X9'], ['X0', 'X1', 'X11', 'X2', 'X21', 'X22', 'X36', 'X38', 'X39', 'X40', 'X45'], ['X0', 'X1', 'X13', 'X17', 'X18', 'X2', 'X27', 'X28', 'X29', 'X38', 'X44'], ['X0', 'X1', 'X13', 'X15', 'X2', 'X31', 'X40', 'X42', 'X43', 'X5', 'X7'], ['X0', 'X1', 'X16', 'X19', 'X2', 'X27', 'X3', 'X37', 'X42', 'X48'], ['X0', 'X1', 'X13', 'X2', 'X27', 'X41', 'X47', 'X48', 'X50'], ['X0', 'X1', 'X16', 'X19', 'X2', 'X20', 'X26', 'X30', 'X31', 'X40', 'X44', 'X6'], ['X0', 'X1', 'X10', 'X12', 'X18', 'X2', 'X20', 'X27', 'X44'], ['X0', 'X1', 'X16', 'X2', 'X30', 'X34', 'X36', 'X4', 'X5', 'X8'], ['X0', 'X1', 'X15', 'X16', 'X2', 'X22', 'X26', 'X32', 'X33', 'X41', 'X44', 'X45', 'X46', 'X9'], ['X0', 'X1', 'X12', 'X18', 'X2', 'X25', 'X28', 'X3', 'X30', 'X39', 'X4', 'X40', 'X42', 'X44'], ['X0', 'X1', 'X2', 'X22', 'X24', 'X35', 'X47', 'X49', 'X50']]",0.8366013071895427,1.0,0.2715051615051615,0.4252768799827623
