,scores,variables,accuracy,recall,precision,f1
rp,34.34166765999304,"[['X6'], ['X14', 'X0', 'X1', 'X13', 'X17'], ['X0', 'X35'], ['X0', 'X14', 'X38'], ['X0', 'X24'], ['X49', 'X19', 'X12'], ['X0', 'X1', 'X34', 'X22'], ['X1', 'X36', 'X23'], ['X1', 'X47', 'X10', 'X44'], ['X1', 'X0', 'X12'], ['X0', 'X1', 'X13'], ['X0', 'X1', 'X18'], ['X1', 'X0', 'X12'], ['X0'], ['X0', 'X1', 'X12', 'X25', 'X45', 'X5']]",0.9520000000000001,0.6666666666666666,0.45444444444444443,0.5158730158730159
kd,34.675874107030005,"[['X33', 'X32', 'X14', 'X42'], ['X14', 'X31', 'X16'], ['X0', 'X23', 'X1'], ['X0', 'X13', 'X48', 'X21'], ['X0', 'X34', 'X36'], ['X1', 'X6', 'X32'], ['X0', 'X1', 'X36'], ['X1', 'X0', 'X8'], ['X1', 'X45', 'X28'], ['X1', 'X5', 'X7', 'X29'], ['X0', 'X48'], ['X0', 'X1', 'X41', 'X10'], ['X1', 'X0', 'X24', 'X13'], ['X0'], ['X0', 'X1', 'X18', 'X23', 'X7']]",0.9453333333333335,0.6333333333333333,0.4266666666666667,0.48920634920634926
classification,28.809886098964224,"[['X33', 'X1', 'X36', 'X2'], ['X14', 'X31', 'X6', 'X26', 'X42', 'X40'], ['X0', 'X23', 'X42', 'X15', 'X26', 'X35', 'X17'], ['X22', 'X46', 'X19', 'X4', 'X30', 'X37', 'X27', 'X24'], ['X30', 'X28', 'X34', 'X0'], ['X1', 'X20', 'X25', 'X0', 'X6'], ['X34', 'X8', 'X24', 'X47', 'X28'], ['X1', 'X17', 'X8', 'X19', 'X21', 'X49', 'X35', 'X18'], ['X1', 'X20', 'X48', 'X32', 'X16'], ['X1', 'X0', 'X20', 'X14', 'X7', 'X8', 'X12'], ['X0', 'X10', 'X1', 'X14', 'X4', 'X35', 'X5'], ['X0', 'X1', 'X5', 'X17', 'X38', 'X35'], ['X1', 'X0', 'X37', 'X23', 'X3'], ['X0', 'X40'], ['X1', 'X41', 'X11', 'X45', 'X0', 'X49']]",0.8946666666666666,0.6,0.23373015873015873,0.3270899470899471
honest,25.440928102438093,"[['X19', 'X0'], ['X35'], ['X16'], ['X40'], ['X3', 'X0'], ['X39', 'X9'], ['X38'], ['X6', 'X1', 'X38', 'X39', 'X33'], ['X22'], ['X1', 'X12'], ['X7', 'X6'], ['X32', 'X0', 'X17', 'X1'], ['X20'], ['X19', 'X7'], ['X0', 'X15']]",0.9399999999999998,0.23333333333333334,0.18000000000000002,0.19682539682539685
mi,0.7936175191128689,"[['X33', 'X18', 'X47', 'X20', 'X12', 'X49', 'X42', 'X34', 'X41'], ['X19', 'X46', 'X37', 'X5'], ['X0', 'X24', 'X43', 'X16', 'X22', 'X35'], ['X48', 'X0', 'X32', 'X14', 'X35', 'X24', 'X44', 'X41', 'X28', 'X9'], ['X0', 'X30', 'X26', 'X44', 'X7', 'X4', 'X9', 'X48'], ['X15', 'X1', 'X41', 'X38', 'X3'], ['X47', 'X0', 'X2', 'X40', 'X34', 'X46', 'X35', 'X5', 'X19', 'X17'], ['X0', 'X36', 'X4', 'X38', 'X48', 'X6', 'X16', 'X25', 'X7', 'X15'], ['X1', 'X21', 'X28', 'X11', 'X12'], ['X1', 'X38', 'X20', 'X4', 'X14', 'X5', 'X34', 'X31', 'X16', 'X36', 'X2'], ['X12', 'X28', 'X14', 'X40', 'X47', 'X48'], ['X0', 'X33', 'X38', 'X2', 'X32', 'X5', 'X36', 'X19'], ['X21', 'X30', 'X22', 'X37', 'X14', 'X8'], ['X0', 'X40', 'X6', 'X32', 'X27', 'X28', 'X9', 'X47'], ['X38', 'X30', 'X26', 'X28', 'X25', 'X4', 'X44', 'X6', 'X14', 'X18']]",0.832,0.3333333333333333,0.08883838383838384,0.13835164835164837
linear,79.11983259020171,"[['X0', 'X1', 'X11', 'X13', 'X23', 'X25', 'X30', 'X32', 'X39', 'X4', 'X42', 'X45'], ['X0', 'X1', 'X11', 'X13', 'X15', 'X19', 'X20', 'X22', 'X23', 'X25', 'X28', 'X30', 'X31', 'X37', 'X38', 'X39', 'X41', 'X42', 'X44', 'X45', 'X46', 'X5', 'X9'], ['X0', 'X1', 'X17', 'X22', 'X24', 'X25', 'X35', 'X45', 'X48', 'X6', 'X7', 'X9'], ['X0', 'X1', 'X10', 'X15', 'X16', 'X18', 'X19', 'X21', 'X23', 'X24', 'X35'], ['X0', 'X1', 'X15', 'X16', 'X28', 'X29', 'X3', 'X34', 'X35', 'X48', 'X49', 'X5', 'X7', 'X8'], ['X0', 'X1', 'X14', 'X2', 'X23', 'X27', 'X3', 'X34', 'X36', 'X39', 'X4', 'X42', 'X45', 'X46', 'X48', 'X49', 'X5', 'X9'], ['X0', 'X1', 'X15', 'X21', 'X26', 'X29', 'X30', 'X33', 'X34', 'X38', 'X41', 'X42', 'X43', 'X44', 'X8'], ['X0', 'X1', 'X13', 'X17', 'X18', 'X19', 'X2', 'X20', 'X23', 'X24', 'X26', 'X27', 'X35', 'X36', 'X44', 'X45', 'X47', 'X5'], ['X0', 'X1', 'X10', 'X2', 'X20', 'X21', 'X22', 'X25', 'X27', 'X35', 'X39', 'X45', 'X46', 'X48', 'X7', 'X8'], ['X0', 'X1', 'X12', 'X13', 'X15', 'X16', 'X2', 'X21', 'X25', 'X27', 'X31', 'X34', 'X43', 'X44', 'X48', 'X6', 'X7'], ['X0', 'X1', 'X15', 'X17', 'X19', 'X34', 'X38', 'X39', 'X40', 'X41', 'X44', 'X46', 'X47', 'X49', 'X7', 'X9'], ['X0', 'X1', 'X12', 'X2', 'X20', 'X24', 'X25', 'X33', 'X34', 'X39', 'X4', 'X43', 'X5', 'X7', 'X8'], ['X0', 'X1', 'X12', 'X13', 'X15', 'X23', 'X3', 'X36', 'X37', 'X42'], ['X0', 'X1', 'X12', 'X17', 'X18', 'X20', 'X23', 'X3', 'X32', 'X33', 'X44'], ['X0', 'X1', 'X11', 'X12', 'X14', 'X18', 'X20', 'X22', 'X23', 'X24', 'X32', 'X34', 'X37', 'X38', 'X40', 'X41', 'X42', 'X43', 'X44', 'X7']]",0.736,1.0,0.13888795395189257,0.2425015798328492
