,scores,variables,accuracy,recall,precision,f1
rp,12.705317967763612,"[['X42'], ['X0'], ['X30', 'X8'], ['X6', 'X11'], ['X6', 'X3'], ['X20', 'X10'], ['X49', 'X18'], ['X11', 'X10', 'X17'], ['X48'], ['X16', 'X2'], ['X16', 'X46'], ['X5', 'X17'], ['X9', 'X16'], ['X1', 'X17'], ['X12', 'X8']]",0.928,0.06666666666666667,0.1,0.07777777777777777
kd,13.169859547108816,"[['X27'], ['X0'], ['X30', 'X25'], ['X6', 'X9'], ['X6', 'X34'], ['X20'], ['X49'], ['X32', 'X31', 'X40'], ['X48', 'X18'], ['X16'], ['X16'], ['X15', 'X8', 'X35', 'X17'], ['X9', 'X2'], ['X1', 'X2', 'X17', 'X35'], ['X12', 'X14']]",0.9266666666666665,0.06666666666666667,0.08333333333333333,0.06666666666666667
classification,10.54507847551087,"[['X42', 'X39'], ['X0', 'X9'], ['X8', 'X7'], ['X6', 'X41'], ['X6'], ['X21', 'X2'], ['X49'], ['X32', 'X48'], ['X3'], ['X16', 'X43', 'X36'], ['X18', 'X2'], ['X32', 'X14', 'X3'], ['X26', 'X11', 'X21'], ['X1', 'X35'], ['X20', 'X49']]",0.9253333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
honest,8.066094871608616,"[['X49'], ['X0'], ['X20'], ['X6', 'X2'], ['X15', 'X16'], ['X38', 'X7'], ['X18', 'X24'], ['X34', 'X27'], ['X23'], ['X4', 'X29'], ['X4', 'X25'], ['X40', 'X2'], ['X5'], ['X25'], ['X22', 'X44']]",0.9306666666666666,0.03333333333333333,0.06666666666666667,0.04444444444444444
mi,0.8259865121065625,"[['X25', 'X0'], ['X0', 'X9'], ['X30'], ['X10', 'X47', 'X29'], ['X36', 'X3'], ['X21', 'X2'], ['X31'], ['X32', 'X48'], ['X3'], ['X16', 'X3'], ['X42'], ['X15', 'X42', 'X5'], ['X26', 'X11', 'X21'], ['X26', 'X20', 'X1', 'X42'], ['X20', 'X49']]",0.9266666666666666,0.1,0.08333333333333333,0.08888888888888888
linear,4.893029380138186,"[['X11', 'X47', 'X7'], ['X0', 'X42', 'X9'], ['X30', 'X8'], ['X11', 'X46', 'X6'], ['X0', 'X17', 'X21', 'X35'], ['X17', 'X24', 'X28', 'X42'], ['X17', 'X20', 'X39', 'X44'], ['X29', 'X39', 'X48'], ['X1', 'X14', 'X9'], ['X14', 'X17', 'X27', 'X39'], ['X0', 'X1', 'X44', 'X47'], ['X41', 'X42', 'X9'], ['X13', 'X22', 'X39'], ['X1', 'X14', 'X47'], ['X37', 'X44', 'X7']]",0.9106666666666666,0.2,0.11666666666666665,0.14666666666666664
