,scores,variables,accuracy,recall,precision,f1
rp,22.334379350084408,"[['X36', 'X34', 'X23', 'X1'], ['X1', 'X39'], ['X20', 'X40'], ['X20', 'X23'], ['X0', 'X17', 'X40'], ['X0', 'X9'], ['X1', 'X33'], ['X25', 'X36', 'X43'], ['X41', 'X37', 'X48'], ['X20', 'X14', 'X35'], ['X0', 'X5', 'X17'], ['X30', 'X2'], ['X1', 'X27', 'X15', 'X4'], ['X4'], ['X1', 'X0', 'X30']]",0.9319999999999999,0.3,0.2222222222222222,0.2511111111111111
kd,22.130439192713094,"[['X36', 'X31'], ['X1', 'X41', 'X5'], ['X41', 'X4', 'X35'], ['X20', 'X1', 'X11'], ['X0', 'X29', 'X11', 'X33'], ['X0', 'X9'], ['X1', 'X10'], ['X1', 'X36', 'X23', 'X15'], ['X41', 'X9'], ['X43', 'X48'], ['X0', 'X5', 'X6'], ['X30', 'X5', 'X2'], ['X1', 'X11', 'X2'], ['X4', 'X41', 'X27', 'X14'], ['X1', 'X0', 'X21']]",0.9293333333333333,0.3333333333333333,0.23333333333333334,0.2711111111111111
classification,17.614196929026583,"[['X36', 'X2', 'X43'], ['X1', 'X40', 'X7'], ['X49', 'X14', 'X10'], ['X20', 'X1', 'X34', 'X17', 'X41'], ['X0', 'X39', 'X44', 'X27'], ['X0', 'X36', 'X17', 'X9'], ['X1', 'X28', 'X3'], ['X49', 'X36', 'X42', 'X3', 'X21'], ['X41', 'X6', 'X19', 'X14'], ['X38', 'X15', 'X8'], ['X0', 'X17', 'X5', 'X37'], ['X30', 'X5', 'X0', 'X36', 'X6', 'X4'], ['X1', 'X0', 'X2'], ['X4', 'X41', 'X27', 'X8', 'X2', 'X3'], ['X0', 'X22', 'X16', 'X12']]",0.9066666666666667,0.3333333333333333,0.18000000000000002,0.23126984126984132
honest,15.283948589115006,"[['X23'], ['X41', 'X27', 'X38', 'X36'], ['X29'], ['X18'], ['X29', 'X41', 'X11'], ['X19', 'X24'], ['X1', 'X29'], ['X17', 'X39'], ['X42', 'X12', 'X17'], ['X25', 'X17', 'X3'], ['X0', 'X21'], ['X48'], ['X0', 'X17'], ['X19'], ['X36']]",0.9293333333333332,0.1,0.1,0.1
mi,0.7936626614259102,"[['X0', 'X30', 'X31'], ['X6', 'X18', 'X22', 'X14', 'X33'], ['X42', 'X30', 'X43', 'X29', 'X27', 'X19', 'X14'], ['X29', 'X16', 'X41', 'X43', 'X7', 'X1', 'X0', 'X17'], ['X33', 'X35', 'X40', 'X32'], ['X35', 'X17', 'X15', 'X46'], ['X1', 'X42', 'X3'], ['X32', 'X1', 'X9', 'X18'], ['X9', 'X44', 'X39', 'X37', 'X12', 'X48'], ['X28', 'X22', 'X1', 'X10'], ['X0', 'X37', 'X29', 'X48'], ['X7', 'X49', 'X11', 'X26'], ['X3', 'X18', 'X0', 'X5', 'X42', 'X8'], ['X5', 'X1', 'X2', 'X38'], ['X30', 'X0', 'X9', 'X49', 'X3', 'X23']]",0.8906666666666668,0.3333333333333333,0.14999999999999997,0.20222222222222225
linear,14.604885886931747,"[['X0', 'X1', 'X18', 'X24', 'X39', 'X7'], ['X0', 'X1', 'X23', 'X24', 'X25', 'X28', 'X29', 'X38', 'X41'], ['X0', 'X1', 'X15', 'X21', 'X27', 'X37', 'X46', 'X48', 'X49', 'X7', 'X9'], ['X0', 'X11', 'X18', 'X29', 'X34', 'X37', 'X8'], ['X0', 'X1', 'X19', 'X26', 'X36', 'X39', 'X46', 'X8'], ['X0', 'X1', 'X16', 'X19', 'X9'], ['X0', 'X1', 'X14', 'X16', 'X23'], ['X1', 'X16', 'X23', 'X24', 'X39', 'X44', 'X46', 'X9'], ['X0', 'X11', 'X18', 'X21', 'X22', 'X30', 'X35', 'X4', 'X41', 'X47', 'X6'], ['X13', 'X14', 'X17', 'X25', 'X40', 'X43', 'X49', 'X9'], ['X0', 'X17', 'X26', 'X5'], ['X0', 'X1', 'X14', 'X23', 'X30', 'X47', 'X5'], ['X0', 'X1', 'X12', 'X2', 'X47', 'X49', 'X9'], ['X0', 'X1', 'X18', 'X21', 'X25', 'X30', 'X5', 'X7', 'X8'], ['X0', 'X1', 'X11', 'X16', 'X2', 'X21', 'X36']]",0.8746666666666667,0.8,0.23170033670033666,0.35470381470381473
