,scores,variables,accuracy,recall,precision,f1
rp,78.85342290897673,"[['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1', 'X46'], ['X1', 'X0', 'X38'], ['X1', 'X0', 'X8', 'X12'], ['X0', 'X1', 'X3'], ['X0', 'X1', 'X4'], ['X1', 'X0', 'X3'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X31'], ['X1', 'X0'], ['X0', 'X1', 'X19']]",0.9880000000000001,1.0,0.8111111111111111,0.8844444444444445
kd,79.32597685348647,"[['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1', 'X24'], ['X1', 'X0', 'X5'], ['X0', 'X1'], ['X1', 'X0', 'X17'], ['X1', 'X0', 'X29'], ['X0', 'X1', 'X21'], ['X0', 'X1'], ['X1', 'X0', 'X45'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X29', 'X2'], ['X1', 'X0'], ['X0', 'X1']]",0.9893333333333333,1.0,0.8333333333333334,0.8977777777777778
classification,71.4157600144868,"[['X0', 'X1', 'X38', 'X11', 'X19', 'X34', 'X22', 'X33', 'X39', 'X41'], ['X1', 'X0', 'X34', 'X7', 'X5', 'X37', 'X16', 'X22', 'X32', 'X13', 'X24'], ['X0', 'X1', 'X5', 'X2', 'X4', 'X3', 'X9', 'X12', 'X43', 'X44', 'X18', 'X14'], ['X1', 'X0', 'X26', 'X5', 'X37', 'X47', 'X43', 'X3', 'X24'], ['X0', 'X1', 'X37', 'X16', 'X45', 'X17', 'X24', 'X40', 'X13', 'X31', 'X14'], ['X1', 'X0', 'X11', 'X48', 'X20', 'X18', 'X38', 'X49', 'X13'], ['X1', 'X0', 'X40', 'X29', 'X28', 'X8', 'X45', 'X26', 'X10', 'X14'], ['X0', 'X1', 'X4', 'X38', 'X8', 'X29', 'X7', 'X49', 'X31', 'X10', 'X40'], ['X0', 'X1', 'X48', 'X11', 'X23', 'X38', 'X4', 'X36', 'X44', 'X7', 'X29', 'X3', 'X33', 'X20'], ['X1', 'X0', 'X23', 'X19', 'X47', 'X48', 'X34', 'X24', 'X42', 'X9', 'X7', 'X18'], ['X0', 'X1', 'X8', 'X14', 'X17', 'X36', 'X30', 'X26', 'X37', 'X38', 'X43'], ['X1', 'X0', 'X2', 'X32', 'X17', 'X24', 'X49', 'X42'], ['X1', 'X0', 'X9', 'X15', 'X46', 'X18', 'X37', 'X48', 'X13', 'X32', 'X11', 'X23', 'X24'], ['X1', 'X0', 'X32', 'X23', 'X37', 'X48', 'X6', 'X28', 'X40', 'X43', 'X17', 'X44'], ['X0', 'X1', 'X36', 'X44', 'X47', 'X49', 'X48', 'X23', 'X29', 'X43', 'X19']]",0.8213333333333335,1.0,0.18668257668257665,0.31374736374736373
honest,55.333897206335514,"[['X0', 'X48'], ['X1', 'X0', 'X45', 'X41', 'X34', 'X2'], ['X0', 'X1', 'X9'], ['X1', 'X48'], ['X0', 'X42'], ['X1', 'X0', 'X46'], ['X1', 'X0', 'X5'], ['X0', 'X1', 'X40'], ['X0', 'X29', 'X11'], ['X1', 'X44'], ['X1', 'X0', 'X4'], ['X0', 'X1', 'X4'], ['X1', 'X0', 'X2'], ['X1', 'X0', 'X17'], ['X0', 'X1', 'X46', 'X22']]",0.9666666666666669,0.8333333333333334,0.5666666666666667,0.6644444444444445
mi,0.8106498690171928,"[['X0', 'X1', 'X31', 'X27', 'X6', 'X25', 'X9', 'X10', 'X36', 'X37', 'X24', 'X43', 'X17', 'X26'], ['X1', 'X0', 'X7', 'X45', 'X10', 'X28', 'X32', 'X2', 'X21', 'X8', 'X15', 'X44', 'X27', 'X13'], ['X0', 'X32', 'X1', 'X34', 'X44', 'X3', 'X19', 'X46', 'X6', 'X25', 'X13', 'X45', 'X38', 'X40', 'X48', 'X29', 'X20'], ['X1', 'X0', 'X43', 'X5', 'X37', 'X44', 'X6', 'X25', 'X26', 'X8', 'X35', 'X24', 'X19', 'X10', 'X47', 'X3', 'X11', 'X32'], ['X0', 'X1', 'X42', 'X26', 'X7', 'X8', 'X32', 'X14', 'X47', 'X21', 'X11', 'X41', 'X38', 'X19', 'X31', 'X16', 'X37', 'X24', 'X3', 'X36', 'X15', 'X39', 'X44', 'X49'], ['X1', 'X0', 'X11', 'X23', 'X27', 'X38', 'X36', 'X19', 'X39', 'X13', 'X41', 'X22', 'X49', 'X42', 'X15'], ['X1', 'X7', 'X44', 'X28', 'X35', 'X34', 'X17', 'X23', 'X41', 'X31', 'X16'], ['X0', 'X1', 'X48', 'X38', 'X49', 'X5', 'X36', 'X47', 'X27', 'X34', 'X39', 'X13', 'X21'], ['X0', 'X46', 'X40', 'X22', 'X32', 'X34', 'X12', 'X47', 'X31', 'X9', 'X35', 'X39', 'X14', 'X36', 'X2', 'X42', 'X30', 'X27'], ['X1', 'X0', 'X41', 'X9', 'X17', 'X43', 'X20', 'X29', 'X39', 'X21', 'X49', 'X3', 'X46'], ['X0', 'X1', 'X46', 'X30', 'X18', 'X4', 'X24', 'X7', 'X37', 'X28', 'X43', 'X20', 'X29', 'X17', 'X49', 'X12', 'X8', 'X42', 'X40', 'X2', 'X21'], ['X1', 'X0', 'X14', 'X32', 'X7', 'X29', 'X34', 'X40', 'X18', 'X30', 'X39', 'X23', 'X37', 'X24', 'X28', 'X45'], ['X0', 'X1', 'X10', 'X46', 'X32', 'X14', 'X22', 'X27', 'X30', 'X47', 'X31', 'X11', 'X36', 'X7', 'X39', 'X29', 'X25', 'X45', 'X8'], ['X0', 'X1', 'X26', 'X47', 'X24', 'X46', 'X49', 'X37', 'X42', 'X8', 'X48', 'X10', 'X3', 'X7', 'X20', 'X16', 'X11', 'X4', 'X33', 'X14', 'X13', 'X21'], ['X0', 'X1', 'X26', 'X6', 'X32', 'X4', 'X11', 'X31', 'X37', 'X48', 'X36', 'X42', 'X47', 'X14', 'X29', 'X45', 'X19', 'X25']]",0.6973333333333332,0.9333333333333333,0.11418783544170541,0.20267494648703427
linear,524.3947128675588,"[['X0', 'X1', 'X11', 'X23', 'X24', 'X25', 'X34', 'X39', 'X42'], ['X0', 'X1', 'X10', 'X2', 'X24', 'X30', 'X32', 'X36', 'X42', 'X43', 'X45'], ['X0', 'X1', 'X11', 'X12', 'X18', 'X24', 'X30', 'X31', 'X34', 'X36', 'X39', 'X43', 'X47', 'X9'], ['X0', 'X1', 'X11', 'X19', 'X2', 'X25', 'X29', 'X30', 'X32', 'X34', 'X39', 'X44', 'X7'], ['X0', 'X1', 'X3', 'X30', 'X31', 'X35', 'X47', 'X5', 'X8'], ['X0', 'X1', 'X12', 'X17', 'X28', 'X40', 'X44', 'X48', 'X49', 'X8'], ['X0', 'X1', 'X14', 'X20', 'X23', 'X29', 'X33', 'X36', 'X39', 'X40', 'X43', 'X44', 'X45', 'X5'], ['X0', 'X1', 'X17', 'X19', 'X23', 'X34', 'X36', 'X37', 'X40', 'X43'], ['X0', 'X1', 'X20', 'X21', 'X23', 'X30', 'X38', 'X4', 'X48'], ['X0', 'X1', 'X14', 'X19', 'X27', 'X33', 'X36', 'X38', 'X47', 'X5', 'X7'], ['X0', 'X1', 'X12', 'X16', 'X17', 'X21', 'X24', 'X31', 'X32', 'X40', 'X44'], ['X0', 'X1', 'X25', 'X26', 'X3', 'X36', 'X42', 'X47', 'X5'], ['X0', 'X1', 'X10', 'X3', 'X34', 'X35', 'X46', 'X47', 'X9'], ['X0', 'X1', 'X21', 'X23', 'X24', 'X27', 'X32', 'X34', 'X35', 'X43', 'X48', 'X8', 'X9'], ['X0', 'X1', 'X10', 'X20', 'X7']]",0.8306666666666664,1.0,0.20333148333148332,0.33417915417915417
