,scores,variables,accuracy,recall,precision,f1
rp,18.107320600950104,"[['X0'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1', 'X48'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X7'], ['X1', 'X0', 'X46'], ['X0', 'X1'], ['X1', 'X0', 'X31'], ['X0', 'X1', 'X5'], ['X1'], ['X0', 'X1'], ['X1', 'X10'], ['X0', 'X1']]",0.9866666666666667,0.8666666666666667,0.8444444444444444,0.8355555555555555
kd,20.76723656332188,"[['X0', 'X4'], ['X1', 'X0'], ['X1', 'X0', 'X11'], ['X0', 'X1'], ['X0', 'X1'], ['X1'], ['X0', 'X45', 'X39'], ['X1', 'X0', 'X5'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1', 'X6'], ['X1', 'X10', 'X12'], ['X0'], ['X1'], ['X0', 'X1', 'X18']]",0.9800000000000001,0.8,0.7888888888888889,0.7666666666666667
classification,12.311301533136442,"[['X0'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1', 'X35'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X18'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1', 'X14'], ['X1', 'X0'], ['X0', 'X7'], ['X1'], ['X0', 'X1']]",0.9893333333333333,0.8666666666666667,0.8888888888888888,0.8622222222222222
honest,10.007955177185119,"[['X0', 'X16'], ['X1', 'X0', 'X20', 'X33', 'X6'], ['X1', 'X3'], ['X0', 'X7', 'X9'], ['X0', 'X9'], ['X1', 'X49', 'X13'], ['X0', 'X18', 'X19'], ['X0', 'X1', 'X5', 'X10', 'X2'], ['X0', 'X22', 'X27'], ['X1', 'X18'], ['X20', 'X0', 'X32', 'X1', 'X26'], ['X1', 'X28'], ['X10', 'X0', 'X36'], ['X1', 'X6'], ['X1', 'X0', 'X2', 'X11', 'X34']]",0.9479999999999998,0.6333333333333333,0.41777777777777775,0.4857142857142857
mi,0.9503762556914718,"[['X0', 'X11'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1', 'X35'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X18'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1', 'X14'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X16', 'X36'], ['X0', 'X1']]",0.988,0.9,0.8444444444444444,0.8666666666666668
linear,7.368272297580947,"[['X0', 'X19'], ['X0', 'X1', 'X6', 'X8'], ['X0', 'X1'], ['X0', 'X1', 'X17', 'X38', 'X41'], ['X0', 'X1', 'X17', 'X7'], ['X0', 'X1', 'X17', 'X25'], ['X0', 'X18'], ['X0', 'X1'], ['X0', 'X1', 'X17'], ['X0', 'X1', 'X41', 'X46'], ['X0', 'X1', 'X37'], ['X1', 'X23', 'X24'], ['X0', 'X48', 'X7'], ['X1', 'X17', 'X30'], ['X0', 'X1', 'X10', 'X17']]",0.9626666666666666,0.8333333333333334,0.548888888888889,0.6469841269841269
