,scores,variables,accuracy,recall,precision,f1
rp,13.135890700780546,"[['X0'], ['X1', 'X0', 'X40'], ['X1', 'X0'], ['X1'], ['X1'], ['X1', 'X0', 'X42'], ['X0', 'X14'], ['X1', 'X18'], ['X1', 'X0'], ['X0', 'X45'], ['X1', 'X0', 'X13'], ['X0'], ['X1'], ['X0', 'X1', 'X24'], ['X1']]",0.9786666666666669,0.7,0.8111111111111111,0.7133333333333333
kd,13.961753969354366,"[['X0', 'X4'], ['X1', 'X0', 'X2'], ['X1', 'X16'], ['X1', 'X21'], ['X1'], ['X1', 'X3', 'X0', 'X39'], ['X0'], ['X1'], ['X1', 'X23'], ['X0', 'X1'], ['X1', 'X0', 'X10'], ['X0'], ['X1'], ['X0', 'X19'], ['X1', 'X14']]",0.9720000000000001,0.6333333333333333,0.7222222222222221,0.64
classification,9.10311351359054,"[['X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X34'], ['X1'], ['X1', 'X0', 'X9'], ['X0'], ['X1', 'X5'], ['X1', 'X0'], ['X0', 'X32'], ['X1', 'X0'], ['X0', 'X21'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X6']]",0.9813333333333335,0.7333333333333333,0.8111111111111111,0.7533333333333334
honest,8.011664463425964,"[['X0'], ['X1', 'X7', 'X43'], ['X1', 'X7'], ['X1', 'X11'], ['X1'], ['X0', 'X1', 'X34'], ['X0', 'X3'], ['X1'], ['X37'], ['X0', 'X13', 'X36'], ['X47', 'X1', 'X18', 'X5'], ['X0', 'X7'], ['X1', 'X45', 'X28'], ['X0', 'X48', 'X47'], ['X1', 'X6', 'X15']]",0.9546666666666666,0.5,0.5055555555555554,0.47555555555555556
mi,0.9285993924438621,"[['X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X24'], ['X1'], ['X1', 'X0', 'X9'], ['X0'], ['X1', 'X5'], ['X1', 'X0'], ['X0', 'X32'], ['X1', 'X0'], ['X0', 'X21'], ['X1', 'X0'], ['X22', 'X0', 'X31'], ['X1', 'X6']]",0.9773333333333334,0.7,0.7666666666666667,0.7133333333333334
linear,4.56402683966617,"[['X0'], ['X0', 'X1', 'X38', 'X8'], ['X1', 'X19'], ['X1', 'X17', 'X43'], ['X1'], ['X0', 'X1', 'X7'], ['X0'], ['X1', 'X27'], ['X0', 'X1', 'X46'], ['X0', 'X1', 'X37'], ['X0', 'X1', 'X17'], ['X0', 'X49'], ['X0', 'X1'], ['X0', 'X1', 'X25'], ['X1', 'X17']]",0.9720000000000001,0.7333333333333333,0.6777777777777777,0.6711111111111111
