,scores,variables,accuracy,recall,precision,f1
rp,49.839348148964326,"[['X1', 'X0'], ['X0', 'X1'], ['X0'], ['X1', 'X0'], ['X1', 'X0'], ['X0'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X1'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X9'], ['X0', 'X1'], ['X1', 'X0']]",0.9946666666666668,0.9,0.9777777777777777,0.9199999999999999
kd,50.810892524263764,"[['X1', 'X0'], ['X0', 'X1'], ['X0', 'X26'], ['X1', 'X0'], ['X1', 'X0', 'X44'], ['X0', 'X1'], ['X1', 'X0', 'X41'], ['X0', 'X1'], ['X0', 'X1', 'X34'], ['X1', 'X2'], ['X0', 'X1', 'X23'], ['X0', 'X1', 'X13'], ['X1', 'X0', 'X48'], ['X0', 'X1'], ['X1', 'X0']]",0.9866666666666667,0.9333333333333333,0.7999999999999999,0.8533333333333334
classification,27.151015581262488,"[['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0', 'X33'], ['X0', 'X1'], ['X1', 'X0', 'X46'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X15', 'X24', 'X3', 'X13'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X3'], ['X0', 'X1'], ['X1', 'X0']]",0.9906666666666667,1.0,0.8888888888888888,0.9266666666666666
honest,20.76137667280918,"[['X1', 'X0', 'X36', 'X44'], ['X0', 'X1', 'X9'], ['X0', 'X1', 'X22', 'X41', 'X4'], ['X1', 'X0', 'X7'], ['X1', 'X0', 'X5'], ['X0', 'X1', 'X17', 'X42'], ['X1', 'X0', 'X12', 'X42', 'X27'], ['X0', 'X1', 'X48', 'X47'], ['X0', 'X1', 'X26', 'X40', 'X37'], ['X1', 'X0', 'X44', 'X16', 'X13'], ['X0', 'X1', 'X20'], ['X0', 'X1', 'X24', 'X37'], ['X1', 'X0', 'X22'], ['X0', 'X1', 'X49', 'X27'], ['X1', 'X0', 'X29']]",0.9626666666666668,1.0,0.5400000000000001,0.6946031746031747
mi,0.9823415993480182,"[['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0', 'X8'], ['X1', 'X0', 'X33'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1', 'X25'], ['X1', 'X0', 'X49', 'X5'], ['X0', 'X1', 'X7'], ['X0', 'X1'], ['X1', 'X0', 'X6'], ['X0', 'X1'], ['X1', 'X0', 'X3']]",0.9893333333333333,1.0,0.8333333333333333,0.8977777777777779
linear,159.18448646554276,"[['X0', 'X1', 'X13', 'X14', 'X26', 'X28', 'X3', 'X32', 'X5', 'X7'], ['X0', 'X1', 'X13', 'X20', 'X22', 'X23', 'X29', 'X36', 'X37', 'X38', 'X45', 'X47'], ['X0', 'X1', 'X11', 'X12', 'X13', 'X18', 'X25', 'X28', 'X29', 'X3', 'X30', 'X31', 'X33', 'X36', 'X40', 'X47', 'X5'], ['X0', 'X1', 'X10', 'X16', 'X22', 'X27', 'X28', 'X30', 'X32', 'X33', 'X37', 'X5', 'X7'], ['X0', 'X1', 'X10', 'X15', 'X18', 'X19', 'X25', 'X26', 'X33', 'X35', 'X39', 'X41', 'X43', 'X6'], ['X0', 'X1', 'X14', 'X2', 'X22', 'X29'], ['X0', 'X1', 'X12', 'X26', 'X27', 'X29', 'X32', 'X39', 'X46'], ['X0', 'X1', 'X35', 'X38', 'X40', 'X8'], ['X0', 'X1', 'X10', 'X15', 'X18', 'X19', 'X25', 'X28', 'X29', 'X3', 'X31', 'X39', 'X4', 'X41', 'X42', 'X47', 'X9'], ['X0', 'X1', 'X13', 'X16', 'X19', 'X21', 'X22', 'X37', 'X40', 'X42', 'X49', 'X9'], ['X0', 'X1', 'X19', 'X2', 'X22', 'X23', 'X24', 'X25', 'X32', 'X49', 'X9'], ['X0', 'X1', 'X10', 'X15', 'X18', 'X20', 'X22', 'X23', 'X25', 'X37', 'X4', 'X42', 'X45', 'X46', 'X6'], ['X0', 'X1', 'X13', 'X28', 'X41', 'X44', 'X9'], ['X0', 'X1', 'X11', 'X18', 'X19', 'X21', 'X38', 'X5'], ['X0', 'X1', 'X12', 'X15', 'X16', 'X17', 'X19', 'X23', 'X26', 'X3', 'X38', 'X42', 'X43', 'X46', 'X48', 'X8', 'X9']]",0.808,1.0,0.1948488330841272,0.3202716501478111
