,scores,variables,accuracy,recall,precision,f1
rp,23.941953161621573,"[['X0', 'X15', 'X39'], ['X32'], ['X1', 'X9'], ['X20'], ['X33'], ['X23', 'X0'], ['X0', 'X2', 'X10'], ['X0', 'X44', 'X38'], ['X1', 'X26', 'X37'], ['X0', 'X30'], ['X0', 'X1'], ['X1', 'X16'], ['X0', 'X1', 'X12'], ['X0'], ['X32', 'X4']]",0.9533333333333335,0.43333333333333335,0.4,0.40444444444444444
kd,24.053001915437683,"[['X0', 'X21'], ['X32'], ['X0', 'X10', 'X45', 'X40'], ['X0', 'X20', 'X7', 'X11'], ['X1', 'X9'], ['X0', 'X23', 'X43'], ['X0', 'X43', 'X31'], ['X0', 'X10'], ['X0', 'X12'], ['X0', 'X33', 'X4'], ['X0', 'X8'], ['X0', 'X5'], ['X0', 'X4', 'X12'], ['X0', 'X32', 'X14'], ['X0', 'X9', 'X20', 'X18']]",0.9439999999999998,0.4666666666666667,0.36111111111111105,0.4000000000000001
classification,20.181570686406538,"[['X30', 'X33', 'X17'], ['X1', 'X38'], ['X0', 'X1'], ['X1', 'X49'], ['X1', 'X15'], ['X0', 'X23', 'X46'], ['X0', 'X9', 'X11'], ['X1', 'X19'], ['X1'], ['X1', 'X8', 'X21', 'X0'], ['X1', 'X0', 'X32'], ['X1', 'X28'], ['X1', 'X40'], ['X1', 'X30'], ['X0', 'X1', 'X38']]",0.9600000000000002,0.6,0.5333333333333333,0.548888888888889
honest,16.374616361081415,"[['X34'], ['X1', 'X47', 'X23'], ['X45'], ['X30', 'X23'], ['X0', 'X3'], ['X0', 'X23'], ['X10', 'X43', 'X28', 'X38'], ['X13', 'X44'], ['X1', 'X21'], ['X14'], ['X43'], ['X2'], ['X40', 'X19'], ['X22', 'X9'], ['X0', 'X21']]",0.9359999999999997,0.16666666666666666,0.15555555555555553,0.16
mi,0.8040552655781347,"[['X0', 'X1', 'X2', 'X14', 'X44'], ['X1', 'X23', 'X30', 'X34', 'X10'], ['X0', 'X15', 'X1'], ['X20', 'X19', 'X43', 'X6', 'X35'], ['X1', 'X42'], ['X0', 'X43', 'X31'], ['X0', 'X6', 'X17', 'X35', 'X5', 'X48'], ['X44', 'X32', 'X7', 'X19', 'X0'], ['X5', 'X0', 'X22'], ['X1', 'X0', 'X21', 'X8', 'X7', 'X25'], ['X1', 'X25', 'X35', 'X3', 'X47', 'X12'], ['X1', 'X45', 'X11', 'X44', 'X34'], ['X0', 'X3'], ['X22', 'X2', 'X42', 'X19'], ['X0', 'X48', 'X3', 'X9', 'X5']]",0.9160000000000001,0.5333333333333333,0.28,0.3542857142857143
linear,19.429714260293125,"[['X15', 'X17', 'X20', 'X33', 'X34', 'X35', 'X39', 'X41', 'X42', 'X45', 'X49'], ['X16', 'X17', 'X20', 'X22', 'X23', 'X26', 'X32', 'X35', 'X37', 'X43', 'X9'], ['X10', 'X13', 'X14', 'X19', 'X22', 'X27', 'X29', 'X34', 'X45', 'X46', 'X47'], ['X10', 'X20', 'X22', 'X23', 'X3', 'X34', 'X36', 'X39', 'X45'], ['X11', 'X17', 'X23', 'X33', 'X38', 'X39', 'X42', 'X44', 'X5'], ['X15', 'X2', 'X21', 'X23', 'X24', 'X29', 'X31', 'X32', 'X33', 'X39', 'X43'], ['X11', 'X17', 'X18', 'X19', 'X25', 'X31', 'X36', 'X37', 'X49', 'X8'], ['X12', 'X22', 'X24', 'X25', 'X26', 'X32', 'X40', 'X44', 'X6'], ['X14', 'X21', 'X26', 'X28', 'X29', 'X33', 'X4', 'X47'], ['X18', 'X23', 'X30', 'X33', 'X37', 'X38', 'X4', 'X47', 'X6', 'X7'], ['X16', 'X18', 'X20', 'X23', 'X26', 'X29', 'X36', 'X37', 'X41', 'X43', 'X46'], ['X10', 'X14', 'X22', 'X27', 'X3', 'X37', 'X4', 'X40', 'X42', 'X43', 'X44', 'X45'], ['X16', 'X18', 'X38', 'X4', 'X44', 'X49', 'X9'], ['X14', 'X15', 'X19', 'X2', 'X27', 'X32', 'X39', 'X43', 'X5', 'X9'], ['X0', 'X18', 'X22', 'X24', 'X29', 'X32', 'X40', 'X43', 'X45', 'X5']]",0.764,0.03333333333333333,0.006666666666666667,0.011111111111111112
