,scores,variables,accuracy,recall,precision,f1
rp,69.73540662768275,"[['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0']]",1.0,1.0,1.0,1.0
kd,83.86422020864926,"[['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0', 'X24'], ['X1', 'X0', 'X24'], ['X1', 'X0', 'X13'], ['X1', 'X0']]",0.9960000000000001,1.0,0.9333333333333332,0.9600000000000002
classification,65.80244165948807,"[['X1', 'X0', 'X2', 'X31', 'X30'], ['X0', 'X1'], ['X0', 'X1', 'X18', 'X2', 'X17'], ['X0', 'X1', 'X38', 'X16', 'X12'], ['X1', 'X0', 'X29', 'X17'], ['X0', 'X1', 'X24'], ['X1', 'X0', 'X20', 'X30', 'X16'], ['X0', 'X1', 'X13', 'X34'], ['X1', 'X0', 'X3', 'X23', 'X46'], ['X1', 'X0', 'X6', 'X11'], ['X1', 'X0'], ['X0', 'X1', 'X19', 'X4'], ['X0', 'X1', 'X21', 'X37'], ['X1', 'X0', 'X34', 'X26'], ['X0', 'X1', 'X23', 'X6']]",0.9600000000000002,1.0,0.5444444444444445,0.6882539682539682
honest,36.68596935743657,"[['X1', 'X0', 'X2'], ['X1', 'X0', 'X34'], ['X0', 'X1'], ['X0', 'X1', 'X40'], ['X0', 'X1', 'X27'], ['X0', 'X1', 'X47'], ['X0', 'X1', 'X8', 'X7'], ['X0', 'X1', 'X2'], ['X0', 'X1'], ['X0', 'X1', 'X17'], ['X1', 'X0', 'X22'], ['X0', 'X1', 'X41'], ['X1', 'X0', 'X24'], ['X0', 'X1', 'X35', 'X17'], ['X0', 'X1']]",0.9813333333333335,1.0,0.711111111111111,0.8222222222222224
mi,0.960045161597948,"[['X0', 'X1'], ['X1', 'X0', 'X36', 'X12'], ['X1', 'X0', 'X18', 'X2', 'X17'], ['X1', 'X0', 'X23', 'X19'], ['X1', 'X0', 'X29', 'X17', 'X12'], ['X1', 'X0', 'X24', 'X49', 'X27'], ['X1', 'X0'], ['X0', 'X1', 'X46', 'X22', 'X23'], ['X1', 'X0'], ['X0', 'X1', 'X6', 'X7'], ['X1', 'X0'], ['X0', 'X1', 'X23', 'X7', 'X40', 'X42'], ['X0', 'X1', 'X21', 'X19', 'X48'], ['X0', 'X1', 'X24', 'X49'], ['X0', 'X1', 'X23']]",0.9626666666666668,1.0,0.5999999999999999,0.7215873015873016
linear,1374.307278127119,"[['X14', 'X36', 'X4', 'X43', 'X44', 'X45', 'X46', 'X5', 'X8'], ['X15', 'X18', 'X21', 'X29', 'X33'], ['X10', 'X11', 'X14', 'X2', 'X26', 'X3', 'X32', 'X42', 'X45', 'X46', 'X48', 'X7', 'X9'], ['X10', 'X13', 'X28', 'X30', 'X36', 'X48', 'X7'], ['X2', 'X22', 'X30', 'X4', 'X42', 'X43', 'X45', 'X46', 'X9'], ['X10', 'X11', 'X12', 'X16', 'X19', 'X30', 'X31', 'X47'], ['X25', 'X28', 'X3', 'X33', 'X37', 'X48'], ['X17', 'X24', 'X36', 'X37', 'X4', 'X44', 'X47', 'X5', 'X8'], ['X10', 'X17', 'X18', 'X2', 'X21', 'X25', 'X26', 'X28', 'X29', 'X33', 'X40', 'X41', 'X43', 'X45', 'X5', 'X6', 'X7'], ['X14', 'X30', 'X34', 'X49', 'X8'], ['X12', 'X13', 'X2', 'X4', 'X44', 'X5', 'X8'], ['X32', 'X33', 'X35', 'X37', 'X46'], ['X17', 'X21', 'X24', 'X27', 'X28', 'X33', 'X42', 'X44', 'X46'], ['X13', 'X21', 'X25', 'X27', 'X30', 'X32', 'X7', 'X8'], ['X16', 'X3', 'X31', 'X4', 'X43']]",0.7973333333333332,0.0,0.0,0.0
