,scores,variables,accuracy,recall,precision,f1
rp,54.64177489976055,"[['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0']]",1.0,1.0,1.0,1.0
kd,64.51323499588928,"[['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0'], ['X1', 'X0']]",1.0,1.0,1.0,1.0
classification,51.81852580523613,"[['X1', 'X0', 'X41'], ['X0', 'X1', 'X16', 'X3'], ['X1', 'X0', 'X9'], ['X1', 'X0', 'X44', 'X49'], ['X0', 'X1', 'X45', 'X36'], ['X0', 'X1', 'X26', 'X10', 'X11'], ['X1', 'X0', 'X41', 'X35'], ['X1', 'X0', 'X32', 'X36'], ['X0', 'X1'], ['X1', 'X0', 'X20', 'X40', 'X24', 'X33'], ['X0', 'X1', 'X45', 'X15', 'X49', 'X19'], ['X1', 'X0', 'X9', 'X14'], ['X1', 'X0', 'X24'], ['X0', 'X1', 'X2', 'X8'], ['X1', 'X0', 'X43']]",0.9613333333333335,1.0,0.5488888888888889,0.6958730158730159
honest,36.52660858737284,"[['X1', 'X0', 'X29'], ['X1', 'X0', 'X30'], ['X1', 'X0', 'X41'], ['X1', 'X25', 'X0', 'X13', 'X10', 'X32'], ['X0', 'X16'], ['X1', 'X9'], ['X0', 'X1', 'X7'], ['X0', 'X1', 'X22'], ['X0', 'X49'], ['X1', 'X13'], ['X1', 'X0', 'X23'], ['X1', 'X0', 'X22'], ['X0', 'X1', 'X11'], ['X0', 'X2', 'X1', 'X38'], ['X1', 'X14', 'X0', 'X43']]",0.9680000000000002,0.8666666666666667,0.5777777777777778,0.6822222222222222
mi,0.9379387968854095,"[['X1', 'X0', 'X49', 'X39', 'X21', 'X14'], ['X0', 'X1', 'X16', 'X5', 'X2'], ['X0', 'X1', 'X23'], ['X0', 'X1', 'X31', 'X15', 'X37'], ['X0', 'X1', 'X4', 'X31'], ['X1', 'X0', 'X26', 'X22', 'X10'], ['X1', 'X0', 'X31', 'X9'], ['X1', 'X0', 'X32'], ['X0', 'X1'], ['X0', 'X1', 'X20', 'X9', 'X40'], ['X0', 'X1'], ['X1', 'X0', 'X9', 'X14'], ['X0', 'X1', 'X14'], ['X0', 'X1', 'X4'], ['X1', 'X0', 'X43']]",0.9640000000000001,1.0,0.5844444444444444,0.7190476190476193
linear,680.8787499735456,"[['X18', 'X42', 'X48', 'X5', 'X7'], ['X10', 'X17', 'X19', 'X35', 'X36', 'X38', 'X4', 'X42', 'X6'], ['X17', 'X20', 'X30', 'X33', 'X37'], ['X11', 'X17', 'X26', 'X27', 'X38', 'X43'], ['X20', 'X22', 'X3', 'X38', 'X39', 'X41', 'X42', 'X48'], ['X10', 'X15', 'X18', 'X19', 'X25', 'X26', 'X34', 'X40', 'X42', 'X6', 'X9'], ['X11', 'X2', 'X23', 'X25', 'X4', 'X40', 'X44', 'X48', 'X5'], ['X10', 'X14', 'X15', 'X17', 'X19', 'X20', 'X24', 'X34', 'X40', 'X7', 'X8'], ['X11', 'X13', 'X16', 'X17', 'X18', 'X24', 'X28', 'X31', 'X32', 'X34', 'X38', 'X39', 'X40', 'X42', 'X9'], ['X14', 'X16', 'X18', 'X19', 'X21', 'X22', 'X23', 'X25', 'X28', 'X30', 'X31', 'X33', 'X39', 'X42', 'X5', 'X6', 'X7'], ['X12', 'X3', 'X32', 'X46', 'X48', 'X9'], ['X18', 'X27', 'X31', 'X37', 'X38', 'X4', 'X46'], ['X14', 'X16', 'X17', 'X23', 'X28', 'X31', 'X38', 'X39', 'X40', 'X42', 'X44', 'X45', 'X46', 'X47'], ['X10', 'X17', 'X2', 'X25', 'X31', 'X41', 'X9'], ['X11', 'X12', 'X15', 'X19', 'X20', 'X21', 'X24', 'X26', 'X30', 'X39', 'X42', 'X5']]",0.7706666666666668,0.0,0.0,0.0
