,scores,variables,accuracy,recall,precision,f1
rp,31.10556362293737,"[['X0'], ['X0', 'X1'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X1', 'X0'], ['X1'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X0', 'X1'], ['X1'], ['X0', 'X1']]",0.9960000000000001,0.9,1.0,0.9333333333333332
kd,33.11478009895113,"[['X0'], ['X0', 'X28', 'X23'], ['X1', 'X8'], ['X1', 'X5'], ['X1', 'X0'], ['X1', 'X26'], ['X1', 'X20'], ['X1', 'X6'], ['X1', 'X20'], ['X0'], ['X0', 'X45', 'X36'], ['X1', 'X32', 'X7'], ['X0', 'X21', 'X18'], ['X1', 'X41', 'X3'], ['X0', 'X29']]",0.9586666666666666,0.5333333333333333,0.5444444444444443,0.5222222222222224
classification,27.380897744274467,"[['X0', 'X4', 'X19'], ['X0', 'X22'], ['X1', 'X0', 'X5'], ['X1', 'X5', 'X37'], ['X0', 'X20', 'X46', 'X10'], ['X1', 'X5', 'X0', 'X32'], ['X1', 'X47', 'X7'], ['X1', 'X39', 'X44', 'X25'], ['X0', 'X32', 'X9'], ['X0', 'X36', 'X18'], ['X0', 'X1', 'X22', 'X3'], ['X0', 'X1'], ['X0', 'X1', 'X30', 'X17', 'X40', 'X38', 'X14'], ['X1', 'X48'], ['X1', 'X0', 'X40']]",0.9493333333333333,0.7,0.45238095238095244,0.5362962962962964
honest,21.107041712785552,"[['X1', 'X10'], ['X1'], ['X0', 'X21'], ['X1', 'X39'], ['X0', 'X48', 'X44'], ['X0', 'X1', 'X48'], ['X0', 'X36', 'X7'], ['X0', 'X7', 'X13'], ['X0', 'X17'], ['X0', 'X1', 'X4'], ['X1', 'X10'], ['X1', 'X35'], ['X0', 'X20'], ['X1', 'X18', 'X29'], ['X1', 'X6']]",0.9586666666666669,0.5666666666666667,0.5111111111111111,0.5244444444444444
mi,0.8271319571949018,"[['X0', 'X19', 'X12', 'X33'], ['X1', 'X5', 'X0', 'X47', 'X45', 'X33'], ['X0', 'X1', 'X13'], ['X0', 'X1', 'X42'], ['X0', 'X1', 'X45', 'X46'], ['X0', 'X1', 'X17'], ['X1', 'X0', 'X7', 'X35'], ['X1', 'X9', 'X0'], ['X1', 'X0'], ['X0', 'X1', 'X48', 'X18'], ['X1', 'X0', 'X22', 'X3'], ['X1', 'X0'], ['X0', 'X1'], ['X0', 'X1', 'X22'], ['X0', 'X1', 'X26']]",0.9706666666666668,0.9666666666666667,0.6388888888888888,0.7533333333333335
linear,116.84022070085683,"[['X15', 'X17', 'X18', 'X21', 'X22', 'X40', 'X41', 'X44', 'X7'], ['X13', 'X2', 'X20', 'X25', 'X26', 'X29', 'X34', 'X35', 'X36', 'X41', 'X8', 'X9'], ['X11', 'X16', 'X25', 'X26', 'X32', 'X48', 'X6'], ['X0', 'X1', 'X11', 'X12', 'X14', 'X16', 'X17', 'X2', 'X21', 'X24', 'X27', 'X29', 'X3', 'X31', 'X32', 'X34', 'X37', 'X38', 'X4', 'X45', 'X48', 'X5', 'X6', 'X8', 'X9'], ['X15', 'X20', 'X21', 'X23', 'X26', 'X29', 'X3', 'X31', 'X32', 'X33', 'X34', 'X37', 'X38', 'X4', 'X40', 'X41', 'X43', 'X44', 'X46', 'X49', 'X8'], ['X11', 'X16', 'X2', 'X20', 'X22', 'X26', 'X3', 'X30', 'X31', 'X32', 'X36', 'X42', 'X44', 'X48', 'X49', 'X5', 'X6'], ['X12', 'X14', 'X20', 'X23', 'X25', 'X3', 'X35', 'X4', 'X42', 'X44', 'X5'], ['X15', 'X24', 'X28', 'X36', 'X46'], ['X12', 'X13', 'X16', 'X19', 'X29', 'X3', 'X33', 'X38', 'X39', 'X42', 'X47', 'X5'], ['X12', 'X16', 'X17', 'X18', 'X21', 'X22', 'X23', 'X30', 'X32', 'X37', 'X4', 'X41', 'X47', 'X49', 'X7'], ['X12', 'X17', 'X19', 'X23', 'X24', 'X32', 'X35', 'X36', 'X39', 'X4', 'X41', 'X44', 'X47', 'X48', 'X49', 'X5', 'X6', 'X7'], ['X10', 'X16', 'X17', 'X22', 'X3', 'X34', 'X37', 'X49'], ['X12', 'X13', 'X15', 'X16', 'X17', 'X18', 'X19', 'X21', 'X22', 'X26', 'X28', 'X3', 'X37', 'X38', 'X40', 'X42', 'X43', 'X46', 'X48', 'X6'], ['X15', 'X20', 'X25', 'X29', 'X30', 'X31', 'X33', 'X39', 'X4', 'X40', 'X41', 'X43', 'X48', 'X6', 'X8'], ['X10', 'X12', 'X15', 'X16', 'X20', 'X21', 'X22', 'X23', 'X27', 'X29', 'X30', 'X32', 'X35', 'X36', 'X41', 'X45', 'X7', 'X8', 'X9']]",0.68,0.06666666666666667,0.005333333333333333,0.009876543209876543
